page_id,document_id,doc_key,title,page_label,text_length,disposition_code,citation_ready,review_status,text_excerpt,recommended_action
18463,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,17,104,D5_AD_OR_CARTOON,1,machine_verified,一第卷三第 中空 (轉) DETROIT FREE PRESS 抗 TRAPEZE ... BE THERE! 政府题 中国 画 贊成的舉手 方成 稿投迎歡 良馴很在現牠，緊要不 民意 方部 作樺李 後以釋被,非政论正文；citation 默认禁止
18485,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,39,115,D5_AD_OR_CARTOON,1,machine_verified,13 ·期二第卷三第· 術魔 再生 日本保留工業水準 方解 麥帥眼中的日本 法 捕非龄 方确 又一張！ 海级 稿投迎歡 (载轉CHICAGO DAILY NEWS) 去了！都去了！ DDT 方成 失業後(木刻) 李樺作 左調邁德魏,非政论正文；citation 默认禁止
18535,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,89,108,D5_AD_OR_CARTOON,1,machine_verified,15 ·期四第卷三第 BIG POWER STRATEGY 晨耕(木刻) 刃鋒作 國營事業 强權戰略下 企業 豪門 的犧牲者 政治面孔 (轉载) WASHINGTON 民誉 POST 嘉 御 方成 联合国大全 圈 成,非政论正文；citation 默认禁止
18559,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,113,97,D5_AD_OR_CARTOON,1,machine_verified,·期五第卷三第 漫画 探珠 USA 方成 售书 收 敎授（木刻） 舊書！ 收買中西 本店高所 楊可揚作 (轉载VERDENS GANGOSLO) 担負樣同 望企 私货 捐 搬衣 微近 税 成 方,非政论正文；citation 默认禁止
18584,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,138,88,D5_AD_OR_CARTOON,1,machine_verified,察觀。 16 $ ？賣不賣 成 觀察 frPriee 画 『！的派左啊，』(轉载NEW YORKER) 2 WELCOME 女子宋 東成 方成 任上馬走 作夫野 (刻木)花棉搶,非政论正文；citation 默认禁止
18605,1242,domestic-page/SSID-13679264,《觀察》第三卷第一至十二期合订本,159,115,D6_OCR_GARBLED,1,machine_verified,13 ·期七第卷三第 登定贸 、2基 部 盡蠟殘更 方分 RUSSIAN SIDE WESTERN SIDE GERMANY 1霉倒，嘿嘿 (轉載 NEW HAMPSHIRE 作揚可楊 (刻木)状告路攔 MORNING UNIN),重 OCR 或人工复核；citation 禁止
17505,1246,domestic-page/NLC404-00J001436-85454,《民憲》第二卷第一期,71,106,D5_AD_OR_CARTOON,1,machine_verified,堂安永標虎 种四药良名馳 各大藥房 水 粉丹油 清祛 一頭 化止 百搽 均有代售 腸 風 服痛 氣渴 病食 健 降 郎牙 辟止 可兼 胃 止痛疫咳 治宜 行旅家居 備不可不 號十街正池花蓮崗星七：址廠 廠藥製慶重,非政论正文；citation 默认禁止
16778,1285,domestic-page/NLC404-01J000514-10484,《光明報》1948 年1卷1期,1,116,D6_OCR_GARBLED,1,machine_verified,Kwong ming Pao MAY1 9 1919 國新社 郭沫若： 卷 新 求和空氣籠罩南京（政治通訊） 駁胡適國際形勢裏的兩個問題 麦 中 自由 ?護救去死買何為 ？「胡」假？強「胡 谷 米 ！梁「胡與「胡」問精？無已藏軍將知,重 OCR 或人工复核；citation 禁止
16714,1288,domestic-page/NLC404-01J000514-10515,《光明報》1949 年2卷1期,1,101,D7_SHORT_BODY_CANDIDATE,1,machine_verified,朝明光 MAY10 1949 人民反對掠奪 中國人民對南京新剝 新政協問題筆談 卷期 新第 削措施的鬥爭任務 者 筆 執 張 馮 李文宜 馬叙倫 羅子爲 素 陶 文 2 沈志遠 (通旺) 立北平國 i藏,人工对照影像确认完整性后，方可个案解除 citation 禁令
19474,1290,domestic-page/SRC-088458899f,《中国民主同盟临时全国代表大会宣言》公开转录,128,89,D7_SHORT_BODY_CANDIDATE,1,machine_verified,友邦的期望，大刀阔斧，在民国三十五年元旦，立一个宏愿，在 本年除夕以前，善用时机，为中国开辟一条新路，使他能入一个 新的纪元。 (原载1946年1月2日重庆《新华日报) • 99,人工对照影像确认完整性后，方可个案解除 citation 禁令
